,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
20143,less wealthy,11354,Vietnamese/Cambodian/Malaysia,5/28/2019,02B,Y,1,5/28/2019,40.75977791,-73.82923543,407,20,85300,4113546,4050190005,QN22
20144,wealthier,10014,Seafood,11/19/2019,02G,Y,1,11/19/2019,40.73177385,-74.00333036,102,3,6700,1009949,1005870025,MN23
20145,less wealthy,11213,Chicken,8/13/2019,08A,N,1,8/13/2019,40.67099275,-73.94203706,308,35,33900,3032491,3012580011,BK61
20146,less wealthy,11412,Chinese,8/26/2019,10F,N,1,8/26/2019,40.70617941,-73.75827592,412,27,50600,4234135,4109390003,QN07
20147,wealthier,10022,French,3/6/2019,10B,N,1,3/6/2019,40.75799516,-73.97757709999999,105,4,10200,1081145,1012857501,MN17
20148,wealthier,10065,Korean,7/22/2019,02G,Y,1,7/22/2019,40.76428624,-73.96666569,108,4,11402,1042039,1013970020,MN40
20149,less wealthy,11216,Chicken,10/28/2019,09B,N,1,10/28/2019,40.68108304,-73.95541162,303,36,22700,3057439,3019990042,BK69
20150,less wealthy,11203,Chicken,2/28/2019,06D,Y,1,2/28/2019,40.65376044,-73.93107085,317,41,86800,3102074,3046750006,BK96
20151,less wealthy,11216,Chicken,2/12/2019,10F,N,1,2/12/2019,40.68006789,-73.94386788,303,36,27100,3251519,3018630007,BK61
20152,less wealthy,11203,Chicken,2/28/2019,06C,Y,1,2/28/2019,40.65587736,-73.94225928,317,41,81400,3107813,3048430001,BK91
20153,less wealthy,11413,American,3/15/2019,10B,N,1,3/15/2019,40.66643834,-73.75728864,413,31,32800,4542025,4130850004,QN66
20154,less wealthy,11209,American,9/9/2019,06D,Y,1,9/9/2019,40.61781143,-74.03337614,310,43,5400,3155449,3061130032,BK31
20155,less wealthy,11236,Chicken,3/7/2019,04L,Y,1,3/7/2019,40.63660041,-73.9115891,318,46,95400,3224395,3080030001,BK50
20156,wealthier,10023,Indian,7/11/2019,10F,N,1,7/11/2019,40.77827079,-73.97814796,107,6,15700,1028649,1011260001,MN14
20157,less wealthy,11238,American,5/24/2019,10D,N,1,5/24/2019,40.68206139,-73.95863787,303,35,22700,3057307,3019940058,BK69
