,trial__id,race,struck_state,defendant_race,same_race,struck_by
104,169.97756222360314,White,1,White,same race,Struck by the defense
105,170.0098391452755,White,1,White,same race,Juror chosen to serve on jury
106,170.01460025080297,White,0,White,same race,Struck by the state
107,170.00969414529254,White,1,White,same race,Struck by the defense
108,169.98230519943596,White,1,White,same race,Struck by the defense
109,169.99946885436256,Black,0,White,different race,Struck by the state
110,170.00303911567087,White,1,White,same race,Juror chosen to serve on jury
111,170.00854521228555,Black,0,White,different race,Struck by the state
112,169.9950516982225,Black,0,White,different race,Struck by the state
113,169.99141617483608,White,1,White,same race,Struck by the defense
114,3.992467870538709,Black,1,White,different race,Juror chosen to serve on jury
115,37.99600072932931,White,1,Black,different race,Juror chosen to serve on jury
116,37.9955664349207,White,1,Black,different race,Struck by the defense
117,37.99102078062808,White,1,Black,different race,Struck by the defense
118,37.990476189445204,White,1,Black,different race,Struck by the defense
119,38.00545665010765,White,1,Black,different race,Struck by the defense
120,38.02238598663659,White,1,Black,different race,Struck by the defense
121,37.998971238750535,White,0,Black,different race,Struck by the state
122,37.99579944021448,White,1,Black,different race,Struck by the defense
123,38.0061612434099,White,1,Black,different race,Juror chosen to serve on jury
124,37.99073785293535,White,1,Black,different race,Juror chosen to serve on jury
125,37.998308245947456,White,1,Black,different race,Juror chosen to serve on jury
126,38.010980944971216,White,0,Black,different race,Struck by the state
127,37.998008182855735,White,1,Black,different race,Struck by the defense
128,37.981036388041574,White,1,Black,different race,Struck by the defense
129,38.0086201789811,White,1,Black,different race,Struck by the defense
130,171.98621406101557,White,0,Black,different race,Struck by the state
131,172.00746639504095,White,1,Black,different race,Struck by the defense
132,172.00362264910552,White,1,Black,different race,Struck by the defense
133,171.99370686073982,White,1,Black,different race,Struck by the defense
134,172.0026153980192,White,1,Black,different race,Juror chosen to serve on jury
135,172.00528370648695,White,1,Black,different race,Struck by the defense
136,171.99820497002585,White,1,Black,different race,Juror chosen to serve on jury
137,171.99339841407755,White,1,Black,different race,Struck by the defense
138,172.00621722000483,White,1,Black,different race,Juror chosen to serve on jury
139,171.98925874427877,White,1,Black,different race,Juror chosen to serve on jury
140,172.00234033003773,White,0,Black,different race,Struck by the state
141,171.9902709077507,White,0,Black,different race,Struck by the state
142,171.98584527016226,White,0,Black,different race,Struck by the state
143,171.99861037615463,White,1,Black,different race,Juror chosen to serve on jury
144,171.9885569709925,White,1,Black,different race,Juror chosen to serve on jury
145,172.00772898555826,White,1,Black,different race,Struck by the defense
146,171.99420097413935,Black,0,Black,same race,Struck by the state
147,44.988131002789125,Black,1,Black,same race,Juror chosen to serve on jury
148,44.99134243534205,Black,1,Black,same race,Juror chosen to serve on jury
149,44.98866545396193,White,1,Black,different race,Struck by the defense
150,46.99668387292191,White,1,Black,different race,Struck by the defense
151,47.023837218300535,White,1,Black,different race,Juror chosen to serve on jury
152,46.99944487443791,White,1,Black,different race,Struck by the defense
153,46.99157955965921,White,1,Black,different race,Struck by the defense
154,47.013492319436544,Black,0,Black,same race,Struck by the state
155,46.98195242022539,White,1,Black,different race,Struck by the defense
156,46.98948591312691,White,1,Black,different race,Juror chosen to serve on jury
157,51.986384245484935,White,1,Black,different race,Juror chosen to serve on jury
158,51.98555391387487,Black,1,Black,same race,Juror chosen to serve on jury
159,51.99434815499504,White,1,Black,different race,Juror chosen as alternate
160,245.01212762926556,Black,1,Black,same race,Juror chosen to serve on jury
161,245.008252929503,Black,1,Black,same race,Juror chosen to serve on jury
162,245.00064074026926,White,1,Black,different race,Juror chosen to serve on jury
163,244.98601586960575,White,1,Black,different race,Juror chosen to serve on jury
164,245.00681060913155,Black,1,Black,same race,Juror chosen to serve on jury
165,245.0004772262877,Black,1,Black,same race,Juror chosen to serve on jury
166,244.9935335444515,White,1,Black,different race,Juror chosen to serve on jury
167,245.00145099672324,Black,1,Black,same race,Juror chosen to serve on jury
168,245.00990094457862,Black,1,Black,same race,Juror chosen to serve on jury
169,244.99891401885463,White,1,Black,different race,Juror chosen to serve on jury
170,244.9948219475014,White,1,Black,different race,Juror chosen to serve on jury
171,244.99409954315803,White,1,Black,different race,Juror chosen to serve on jury
172,244.9771601127894,White,1,Black,different race,Juror chosen as alternate
173,245.00645574373456,Black,1,Black,same race,Juror chosen as alternate
174,57.97801743148078,Black,0,Black,same race,Struck by the state
175,58.99767821360419,White,1,Black,different race,Struck by the defense
176,58.99491540625769,White,1,Black,different race,Struck by the defense
177,58.99512081675926,White,1,Black,different race,Juror chosen to serve on jury
178,59.00538464681544,White,1,Black,different race,Struck by the defense
179,58.996266470910335,Black,0,Black,same race,Struck by the state
180,58.99585872333187,White,1,Black,different race,Juror chosen to serve on jury
181,58.9859520602612,White,1,Black,different race,Struck by the defense
182,58.96864589609672,Black,1,Black,same race,Juror chosen to serve on jury
183,58.994032276238414,White,0,Black,different race,Struck by the state
184,58.98644090936374,White,1,Black,different race,Juror chosen to serve on jury
