,trial__id,race,struck_state,defendant_race,same_race,struck_by
0,4.004361026053088,Black,1,White,different race,Juror chosen to serve on jury
1,3.9991356394729074,Black,0,White,different race,Struck by the state
2,3.9937836625068135,White,1,White,same race,Juror chosen to serve on jury
3,3.990975261379548,White,1,White,same race,Struck by the defense
4,4.014292904672125,Black,0,White,different race,Struck by the state
5,4.011158811709339,White,1,White,same race,Juror chosen to serve on jury
6,3.9988512074754596,Black,0,White,different race,Struck by the state
7,4.012974191299123,White,1,White,same race,Struck by the defense
8,4.001897701019852,White,1,White,same race,Juror chosen to serve on jury
9,4.007828815951544,White,1,White,same race,Struck by the defense
10,3.9976580895107428,White,1,White,same race,Juror chosen to serve on jury
11,3.987429152712929,White,1,White,same race,Struck by the defense
12,300.992049142274,Black,0,Black,same race,Struck by the state
13,4.994941670929028,Black,1,Black,same race,Juror chosen to serve on jury
14,5.017762164082168,Black,1,Black,same race,Juror chosen to serve on jury
15,4.99725205979272,White,1,Black,different race,Struck by the defense
16,5.011678461808855,Black,0,Black,same race,Struck by the state
17,4.988288632773128,White,1,Black,different race,Juror chosen to serve on jury
18,4.991816362996651,Black,0,Black,same race,Struck by the state
19,5.012222631288366,White,1,Black,different race,Struck by the defense
20,4.991206477777145,Black,1,Black,same race,Juror chosen to serve on jury
21,4.99364814245276,Black,1,Black,same race,Juror chosen to serve on jury
22,5.003996483670973,White,1,Black,different race,Juror chosen to serve on jury
23,5.010987396144807,White,1,Black,different race,Juror chosen to serve on jury
24,4.996596065093416,White,1,Black,different race,Juror chosen to serve on jury
25,4.991366894163256,White,0,Black,different race,Struck by the state
26,6.015279676724845,White,0,White,same race,Struck by the state
27,7.0189569913983645,Black,0,White,different race,Struck by the state
28,6.990626579681403,White,1,White,same race,Juror chosen to serve on jury
29,6.994534258703234,White,0,White,same race,Struck by the state
30,269.009348081829,Black,0,Black,same race,Struck by the state
31,8.003866488286997,Black,0,Black,same race,Struck by the state
32,6.999750402971701,White,1,White,same race,Struck by the defense
33,301.00342357236417,Black,1,Black,same race,Struck by the defense
34,102.0163967737745,White,1,Black,different race,Juror chosen to serve on jury
35,36.002770657596784,Black,1,White,different race,Struck by the defense
36,57.989566450305595,White,1,Black,different race,Juror chosen as alternate
37,160.9909420341378,White,1,Black,different race,Struck by the defense
38,160.9957978467574,White,1,Black,different race,Struck by the defense
39,160.98084257811573,Black,1,Black,same race,Juror chosen to serve on jury
40,160.99246265170993,Black,1,Black,same race,Juror chosen to serve on jury
41,161.00244661267513,Black,0,Black,same race,Struck by the state
42,161.00323511873393,Black,1,Black,same race,Juror chosen to serve on jury
43,160.9850256697868,White,1,Black,different race,Struck by the defense
44,161.00412228630387,Black,1,Black,same race,Juror chosen to serve on jury
45,160.99417323678733,Black,1,Black,same race,Juror chosen to serve on jury
46,161.01715303674084,White,0,Black,different race,Struck by the state
47,161.00506780873678,Black,1,Black,same race,Juror chosen to serve on jury
48,160.99672366335437,Black,0,Black,same race,Struck by the state
49,160.99783148833447,Black,1,Black,same race,Juror chosen to serve on jury
50,161.01873574401637,Black,1,Black,same race,Juror chosen to serve on jury
51,160.99214044071863,White,1,Black,different race,Juror chosen as alternate
52,21.995561149932698,White,1,Black,different race,Juror chosen to serve on jury
53,22.01509276537588,White,1,Black,different race,Juror chosen to serve on jury
54,166.02036454661067,White,1,Black,different race,Juror chosen to serve on jury
55,166.01346456661776,Black,0,Black,same race,Struck by the state
56,166.0064004947985,Black,0,Black,same race,Struck by the state
57,166.0071489095754,White,1,Black,different race,Juror chosen to serve on jury
58,165.9908825417841,Black,1,Black,same race,Juror chosen to serve on jury
59,165.99186932330463,Black,0,Black,same race,Struck by the state
60,166.0069065434443,White,1,Black,different race,Juror chosen to serve on jury
61,165.99911602209409,White,1,Black,different race,Juror chosen to serve on jury
62,59.00278681123808,Black,0,Black,same race,Struck by the state
63,58.99152101455646,White,1,Black,different race,Juror chosen to serve on jury
64,58.99693626576677,White,0,Black,different race,Struck by the state
65,59.00624785473071,Black,0,Black,same race,Struck by the state
66,59.01396423415655,White,1,Black,different race,Juror chosen as alternate
67,71.00406299804493,Black,1,Black,same race,Juror chosen as alternate
68,70.98687161826734,Black,0,Black,same race,Struck by the state
69,70.98860963578225,Black,0,Black,same race,Struck by the state
70,71.00161804436921,White,1,Black,different race,Struck by the defense
71,71.00272412510685,White,1,Black,different race,Juror chosen to serve on jury
72,70.99620942153601,Black,1,Black,same race,Juror chosen to serve on jury
73,71.00373231702726,White,1,Black,different race,Struck by the defense
74,70.99807047378891,White,1,Black,different race,Juror chosen to serve on jury
75,70.99993776971188,White,1,Black,different race,Struck by the defense
76,70.9934416368299,Black,0,Black,same race,Struck by the state
77,71.0089436923976,Black,1,Black,same race,Juror chosen to serve on jury
78,70.99966445579331,White,1,Black,different race,Juror chosen to serve on jury
79,70.99278077970547,Black,0,Black,same race,Struck by the state
80,70.98909413549984,White,1,Black,different race,Juror chosen to serve on jury
81,70.99776153257062,Black,0,Black,same race,Struck by the state
82,71.00698597033823,White,1,Black,different race,Struck by the defense
83,71.00086591486188,Black,0,Black,same race,Struck by the state
84,71.00531615891623,White,1,Black,different race,Struck by the defense
85,70.99985614578902,White,1,Black,different race,Juror chosen to serve on jury
86,71.00063461117591,Black,1,Black,same race,Juror chosen to serve on jury
87,236.99329568306237,Black,0,Black,same race,Struck by the state
88,236.98172906548857,Black,1,Black,same race,Juror chosen to serve on jury
89,237.00846065279836,Black,1,Black,same race,Juror chosen to serve on jury
90,237.0083106928466,Black,0,Black,same race,Struck by the state
91,237.01565305203826,Black,1,Black,same race,Juror chosen to serve on jury
92,236.9898827014605,Black,0,Black,same race,Struck by the state
93,169.99979214383376,White,1,White,same race,Juror chosen to serve on jury
94,169.99098422382062,White,1,White,same race,Juror chosen to serve on jury
95,170.01049595885496,Black,1,White,different race,Juror chosen to serve on jury
96,170.0065243455854,Black,0,White,different race,Struck by the state
97,169.99574327288616,White,1,White,same race,Juror chosen to serve on jury
98,169.99457187054063,White,1,White,same race,Struck by the defense
99,169.99817472231626,Black,1,White,different race,Struck by the defense
100,169.9974357734016,Black,1,White,different race,Juror chosen to serve on jury
101,169.98803471715792,White,1,White,same race,Juror chosen to serve on jury
102,169.99773045440637,Black,1,White,different race,Juror chosen to serve on jury
103,169.9995754693243,Black,1,White,different race,Juror chosen to serve on jury
