,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
0,MORRIS PARK BAKE SHOP,Bronx,10462,Bakery,11/4/2019,04N,Y,1,11/4/2019,40.84823122,-73.85597189,211,13,25200,2045445,2041270037,BX37
1,WENDY'S,Brooklyn,11225,Hamburgers,3/4/2019,02G,Y,1,3/4/2019,40.66265152,-73.96208137,309,40,32700,3029737,3011970017,BK60
2,DJ REYNOLDS PUB AND RESTAURANT,Manhattan,10019,Irish,6/6/2019,06C,Y,1,6/6/2019,40.76732571,-73.98431042,104,3,13900,1026048,1010480008,MN15
3,RIVIERA CATERERS,Brooklyn,11224,American,11/8/2019,06D,Y,1,11/8/2019,40.57992037,-73.98209025,313,47,34800,3347399,3069970098,BK21
4,BRUNOS ON THE BOULEVARD,Queens,11369,American,10/6/2018,04N,Y,0,,40.76397135,-73.88097314,403,22,32900,4024132,4011000037,QN28
5,WILKEN'S FINE FOOD,Brooklyn,11234,Delicatessen,5/3/2019,06C,Y,1,5/3/2019,40.62011159,-73.90698949,318,46,70000,3237693,3084310041,BK45
6,TASTE THE TROPICS ICE CREAM,Brooklyn,11226,"Ice Cream, Gelato, Yogurt, Ices",5/31/2019,10F,N,1,5/31/2019,40.64079502,-73.94848798,317,45,82800,3112318,3049640001,BK95
7,WILD ASIA,Bronx,10460,American,5/22/2019,04L,Y,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
8,1 EAST 66TH STREET KITCHEN,Manhattan,10065,American,10/1/2019,04H,Y,1,10/1/2019,40.76854691,-73.96958058,108,4,12200,1041159,1013810001,MN40
9,NATHAN'S FAMOUS,Brooklyn,11224,Hotdogs,4/6/2019,10F,N,1,4/6/2019,40.57553687,-73.98165226,313,47,35200,3189660,3070740340,BK21
10,SEUDA FOODS,Brooklyn,11223,Jewish/Kosher,12/6/2019,06D,Y,1,12/6/2019,40.60618692,-73.96546645,315,44,41800,3177501,3066640028,BK25
11,CARVEL ICE CREAM,Brooklyn,11218,"Ice Cream, Gelato, Yogurt, Ices",9/16/2019,08A,N,1,9/16/2019,40.64332972,-73.97818872,312,39,49600,3124566,3053350041,BK41
12,CARVEL ICE CREAM,Queens,11004,"Ice Cream, Gelato, Yogurt, Ices",3/19/2019,10F,N,1,3/19/2019,40.73836796,-73.70351065,413,23,157901,4179545,4087770025,QN44
13,SAL'S DELI,Queens,11356,Delicatessen,5/16/2019,22G,,1,5/16/2019,40.78167384,-73.83941598,407,19,90700,4099345,4041740023,QN23
14,STEVE CHU'S DELI & GROCERY,Queens,11106,Delicatessen,7/15/2019,06F,Y,1,7/15/2019,40.76457121,-73.93882546,401,26,3900,4003862,4003240031,QN68
15,P & S DELI GROCERY,Manhattan,10025,American,5/13/2019,04H,Y,1,5/13/2019,40.79262064,-73.96770962,107,6,18100,1082743,1012260029,MN12
16,ANGELIKA FILM CENTER,Manhattan,10012,American,12/16/2019,06C,Y,0,,40.72574362,-73.99747811,102,1,5501,1008240,1005230048,MN23
17,HO MEI RESTAURANT,Queens,11368,Chinese,2/7/2019,02G,Y,1,2/7/2019,40.75330591,-73.86429538,403,21,37900,4043399,4017450030,QN26
18,THE COUNTRY CAFE,Manhattan,10005,Sandwiches/Salads/Mixed Buffet,1/2/2020,04N,Y,0,1/2/2020,40.70590688,-74.00860938,101,1,700,1001004,1000400003,MN25
19,SHASHEMENE INT'L RESTAURANT,Brooklyn,11203,Caribbean,6/14/2019,06C,Y,1,6/14/2019,40.65198322,-73.92457494,317,41,93800,3103101,3047040001,BK96
20,DUNKIN',Brooklyn,11201,Donuts,11/18/2019,10F,N,1,11/18/2019,40.69216379,-73.99117243,302,33,900,3397831,3002657502,BK09
21,CAFE METRO,Manhattan,10018,American,5/10/2019,02B,Y,1,5/10/2019,40.75618542,-73.99056473,104,3,11500,1083268,1010320029,MN15
22,LEXLER DELI,Manhattan,10174,Sandwiches/Salads/Mixed Buffet,8/3/2018,09A,N,1,8/3/2018,40.75181634,-73.97576011,106,4,9200,1036156,1012970023,MN19
23,BAGELS N BUNS,Staten Island,10314,Delicatessen,12/3/2019,10F,N,1,12/3/2019,40.61026786,-74.14640121,501,50,18901,5000000,5004860001,SI07
24,HOT BAGELS,Queens,11379,Bagels/Pretzels,8/22/2019,06A,Y,1,8/22/2019,40.7132078,-73.87410229,405,30,65703,4437624,4030690069,QN21
25,LORENZO & MARIA'S KITCHEN,Manhattan,10028,Continental,12/3/2019,04L,Y,1,12/3/2019,40.77528111,-73.95657589,108,5,14000,1047523,1015090035,MN40
26,BERKELEY,Manhattan,10022,American,1/23/2019,10B,N,1,1/23/2019,40.75751173,-73.97582661,105,4,10200,1035455,1012850021,MN17
27,CARVEL ICE CREAM,Staten Island,10305,"Ice Cream, Gelato, Yogurt, Ices",10/1/2019,10F,N,1,10/1/2019,40.59855313,-74.07964601,502,50,6400,5047319,5032270002,SI14
28,NEW GOLDEN BILLION,Brooklyn,11212,Chinese,1/31/2019,10I,N,1,1/31/2019,40.66214059,-73.92718021,317,41,88200,3099886,3046110006,BK96
29,DOMINO'S,Manhattan,10023,Pizza,1/13/2020,04A,Y,1,1/13/2020,40.77807357,-73.9804011,107,6,15700,1081483,1011430049,MN14
30,SPOONBREAD TOO,Manhattan,10025,Soul Food,5/18/2019,,,1,,40.80137127,-73.96015994,107,7,19300,1055741,1018450003,MN09
31,KOSHER BAGEL HOLE,Brooklyn,11230,Jewish/Kosher,11/27/2019,10F,N,1,11/27/2019,40.62511113,-73.96203434,314,44,53000,3179615,3067070043,BK43
32,PLAZA BAGELS & DELI,Staten Island,10306,Bagels/Pretzels,6/4/2019,10F,N,1,6/4/2019,40.57345494,-74.11766376,502,50,13400,5057324,5041990018,SI45
33,HAPPY GARDEN,Bronx,10458,Chinese,12/18/2019,04M,Y,0,,40.86364881,-73.89423962,207,15,39901,2016817,2032930106,BX05
34,B & M HOT BAGEL & GROCERY,Staten Island,10308,Delicatessen,2/20/2019,06D,Y,1,2/20/2019,40.55623688,-74.15251526,503,51,14605,5062376,5046130011,SI54
35,PHILADELPHIA GRILLE EXPRESS,Brooklyn,11209,Pizza/Italian,12/11/2019,02B,Y,1,12/11/2019,40.61272249,-74.03375177,310,43,5602,3156122,3061370045,BK31
36,PETER LUGER STEAKHOUSE,Brooklyn,11211,Steak,1/29/2019,10F,N,1,1/29/2019,40.7099798,-73.96251244,301,34,54900,3335296,3021320021,BK73
37,METROPOLITAN CLUB,Manhattan,10022,American,5/30/2019,04N,Y,1,5/30/2019,40.76479552,-73.97230783,108,4,11401,1081206,1013750001,MN40
38,21 CLUB,Manhattan,10019,American,7/26/2019,02B,Y,0,,40.76040784,-73.97775316,105,4,10400,1034519,1012680023,MN17
39,MANHEM CLUB,Bronx,10465,American,8/29/2019,10F,N,1,8/29/2019,40.82869746,-73.81428239,210,13,16000,2097560,2054860029,BX52
40,ISLE OF CAPRI RESTURANT,Manhattan,10065,Italian,10/23/2018,02I,Y,1,10/23/2018,40.76270774,-73.96574958,108,4,11402,1041931,1013950040,MN40
41,OLD TOWN BAR & RESTAURANT,Manhattan,10003,American,12/9/2019,06D,Y,1,12/9/2019,40.73759507,-73.98964721,105,2,5200,1016150,1008470034,MN13
42,POLISH NATIONAL HOME,Brooklyn,11222,Polish,6/11/2019,08C,N,1,6/11/2019,40.72262217,-73.94830183,301,33,49900,3338042,3026980020,BK76
43,SEVILLA RESTAURANT,Manhattan,10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/25/2019,06D,Y,1,6/25/2019,40.73490838,-74.00297329,102,3,7300,1010824,1006110009,MN23
44,CRIMINAL COURT BLDG CAFETERIA,Manhattan,10013,American,4/16/2019,09B,N,1,4/16/2019,40.71607657,-74.0014249,101,1,2900,1079000,1001670001,MN27
45,GOTTSCHEER HALL,Queens,11385,German,7/23/2019,04H,Y,1,7/23/2019,40.70664797,-73.90573574,405,30,58900,4083396,4034850001,QN20
46,NYAC MAIN DINING ROOM,Manhattan,10019,American,1/7/2020,10F,N,0,1/7/2020,40.76671822,-73.97873659,105,4,13700,1023750,1010110001,MN17
47,7B BAR,Manhattan,10009,American,6/19/2019,10F,N,1,6/19/2019,40.72498456,-73.98128265,103,2,3200,1005094,1004020034,MN22
48,CAFE ATELIER (ART STUDENTS LEAGUE),Manhattan,10019,American,7/12/2019,02G,Y,1,7/12/2019,40.76588694,-73.98089567,105,4,13700,1080846,1010290023,MN17
49,DONOHUE'S STEAK HOUSE,Manhattan,10065,Steak,2/13/2019,06D,Y,1,2/13/2019,40.76551288,-73.96576979,108,4,12000,1042358,1013990022,MN40
50,TOUT VA BIEN,Manhattan,10019,French,10/9/2019,04A,Y,0,10/9/2019,40.76313745,-73.98617051,104,3,13300,1025226,1010420125,MN15
51,JUNIOR'S,Brooklyn,11201,American,1/24/2019,10B,N,1,1/24/2019,40.69020015,-73.9816242,302,33,1500,3000369,3001490060,BK38
52,MARCHIS RESTAURANT,Manhattan,10016,Italian,3/21/2019,10B,N,1,3/21/2019,40.74333279,-73.97833629,106,2,7000,1081628,1009120026,MN20
53,TOWNE CAFE,Brooklyn,11235,American,4/3/2019,10D,N,1,4/3/2019,40.58784235,-73.9543256,315,48,60600,3204915,3074590007,BK17
54,THE GEORGIAN SUITE KITCHEN,Manhattan,,Continental,1/14/2020,04L,Y,1,1/14/2020,0,0,,,,,1,
55,OLD HOMESTEAD,Manhattan,10011,American,9/16/2019,06C,Y,1,9/16/2019,40.74137222,-74.00503776,104,3,8300,1013042,1007380080,MN13
56,NEW PARK PIZZERIA & RESTAURANT,Queens,11414,Pizza/Italian,12/4/2019,10F,N,1,12/4/2019,40.6631017,-73.84083793,410,32,88400,4294806,4141480033,QN57
57,DOUGLASTON CLUB,Queens,11363,American,11/20/2019,10B,N,1,11/20/2019,40.77632972,-73.75283544,411,19,148300,4168135,4080310001,QN45
58,RIZZO'S FINE PIZZA,Queens,11103,Pizza,8/1/2019,06D,Y,1,8/1/2019,40.76327459,-73.91547783,401,22,14900,4011252,4006800044,QN70
59,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,Bronx,10462,American,6/11/2019,05D,Y,1,6/11/2019,40.83061012,-73.84964668,209,18,9200,2026709,2038180011,BX59
60,CRYSTAL ROOM,Staten Island,10305,Italian,8/14/2019,06C,Y,1,8/14/2019,40.59281418,-74.07067712,502,50,7000,5107511,5032810010,SI36
61,LABETTI'S POST # 2159,Staten Island,10305,American,6/18/2019,04L,Y,0,,40.60985144,-74.07443366,501,49,2001,5044138,5029850021,SI37
62,SHELL LANES,Brooklyn,11223,American,11/19/2019,04L,Y,1,11/19/2019,40.58874604,-73.97395091,315,47,37402,3195028,3071920065,BK26
63,MCSORLEY'S OLD ALE HOUSE,Manhattan,10003,Irish,1/3/2020,10H,N,1,1/3/2020,40.728584,-73.98953677,103,2,3800,1006695,1004630050,MN22
64,FORLINIS RESTAURANT,Manhattan,10013,Italian,1/6/2020,02G,Y,1,1/6/2020,40.71701803,-73.99962483,103,1,2900,1083367,1001990007,MN27
65,SOUTH SHORE SWIMMING CLUB,Staten Island,10309,American,6/27/2019,06D,Y,1,6/27/2019,40.50806852,-74.22828215,503,51,24402,5107843,5077340050,SI11
66,CORNER BISTRO,Manhattan,10014,American,8/20/2019,04L,Y,1,8/20/2019,40.73792485,-74.00386112,102,3,7700,1011036,1006150060,MN23
67,NOSTRAND DONUT SHOP,Brooklyn,11226,Donuts,7/29/2019,06F,Y,1,7/29/2019,40.6509759,-73.94957925,317,40,81800,3327739,3048690001,BK95
68,DORRIAN'S RED HAND RESTAURANT,Manhattan,10028,Irish,12/19/2019,04C,Y,1,12/19/2019,40.77640497,-73.95280207,108,5,13800,1049947,1015460049,MN32
69,LA GRENOUILLE,Manhattan,10022,French,10/29/2019,09C,N,1,10/29/2019,40.75965816,-73.97597744,105,4,10200,1035708,1012880006,MN17
70,KEATS RESTAURANT,Manhattan,10017,American,9/12/2019,10F,N,1,9/12/2019,40.75159837,-73.9708949,106,4,9000,1038769,1013370149,MN19
71,NEW CORNER,Brooklyn,11228,Italian,8/27/2019,06B,Y,1,8/27/2019,40.62858286,-74.0167196,310,43,13200,3147565,3059120009,BK30
72,THE PRINCETON CLUB,Manhattan,10036,American,4/19/2019,06D,Y,1,4/19/2019,40.75449624,-73.98119492,105,4,9600,1034207,1012590025,MN17
73,ARTURO'S,Manhattan,10012,Italian,12/10/2019,04L,Y,1,12/10/2019,40.72723405,-74.00051594,102,1,6500,1008279,1005250064,MN23
74,SPAIN RESTAURANT & BAR,Manhattan,10011,Spanish,12/17/2019,06F,Y,1,12/17/2019,40.7369505,-73.99800452,102,3,7100,1010656,1006090052,MN23
75,YANKEE TAVERN,Bronx,10451,American,11/25/2019,02B,Y,0,11/25/2019,40.82755787,-73.92514842,204,8,6300,2002983,2024830045,BX63
76,DONUT PUB,Manhattan,10011,Donuts,7/22/2019,06C,Y,1,7/22/2019,40.73874834,-74.00014434,104,3,8100,1013731,1007640036,MN13
77,REBEN LUNCHEONETTE,Brooklyn,11211,American,10/28/2019,10E,N,1,10/28/2019,40.70903995,-73.95915129,301,34,52500,3063567,3024600001,BK73
78,V & T RESTAURANT,Manhattan,10025,Italian,1/8/2020,04L,Y,0,,40.80332942,-73.96361191,109,7,19900,1056908,1018820028,MN09
79,JAHN'S RESTAURANT,Queens,11372,American,3/6/2019,02G,Y,1,3/6/2019,40.74965337,-73.88507357,403,21,28300,4030010,4012920002,QN28
80,J&V FAMOUS PIZZA,Brooklyn,11204,Pizza,4/15/2019,06D,Y,1,4/15/2019,40.61995673,-73.98935214,311,38,24800,3133115,3055390055,BK28
81,JOE ALLEN RESTAURANT,Manhattan,10036,American,6/11/2019,10F,N,1,6/11/2019,40.7601789,-73.98888203,104,3,12100,1025016,1010360044,MN15
82,BARBETTA RESTAURANT,Manhattan,,Italian,12/11/2019,02B,Y,1,12/11/2019,0,0,,,,,1,
83,GARGIULO'S RESTAURANT,Brooklyn,11224,Italian,9/9/2019,04K,Y,1,9/9/2019,40.57655533,-73.98258432,313,47,34800,3339622,3070640045,BK21
84,PATSY'S ITALIAN RESTAURANT,Manhattan,10019,Italian,4/18/2019,08A,N,1,4/18/2019,40.7656182,-73.98239751,105,3,13700,1024883,1010270057,MN17
85,PARKSIDE RESTAURANT,Queens,11368,Italian,4/23/2019,09C,N,1,4/23/2019,40.7437251,-73.85623838,404,21,42700,4449610,4019940030,QN25
86,LAVELLE'S ADMIRAL'S CLUB,Queens,11103,American,11/7/2018,10F,N,1,11/7/2018,40.75700231,-73.9148,401,26,15300,4012527,4007110001,QN70
87,NEARY'S PUB,Manhattan,10022,American,10/29/2018,10F,N,1,10/29/2018,40.75863939,-73.96374832,106,5,10800,1039996,1013490131,MN19
88,NEW YORK PIZZA SUPREMA,Manhattan,10001,Pizza,11/20/2019,08A,N,1,11/20/2019,40.75003195,-73.99504099,104,3,10300,1013536,1007540041,MN13
89,MEE SUM CAFE,Manhattan,10013,Café/Coffee/Tea,8/30/2019,06D,Y,1,8/30/2019,40.71486063,-73.99819997,103,1,2900,1001782,1001630009,MN27
90,NANCY'S RESTAURANT,Queens,11001,American,12/3/2019,06B,Y,1,12/3/2019,40.7274127,-73.70962097,413,23,157903,,4,QN44
91,HOP KEE RESTAURANT,Manhattan,10013,Chinese,5/23/2019,02G,Y,1,5/23/2019,40.71436383,-73.99878436,103,1,2900,1001821,1001640045,MN27
92,NANCY WHISKEY PUB,Manhattan,10013,American,5/18/2019,10F,N,1,5/18/2019,40.72053946,-74.00501092,101,1,3300,1002726,1002110016,MN24
93,BLARNEY BAR,Queens,11435,American,4/22/2019,06D,Y,1,4/22/2019,40.70180334,-73.80867561,412,24,24000,4206762,4096760042,QN61
94,MARGHERITA PIZZA,Queens,11432,Pizza,2/27/2019,08A,N,1,2/27/2019,40.70466771,-73.79682288,412,27,44601,4216196,4101510001,QN61
95,HEALY'S PUB,Queens,11694,American,8/26/2019,06D,Y,1,8/26/2019,40.58173375,-73.83028283,414,32,93800,,4,QN10
96,FIFTH AVENUE BINGO,Brooklyn,11215,American,9/14/2019,06A,Y,1,9/14/2019,40.67003759,-73.98559148,306,39,13700,3324059,3009980041,BK37
97,DENINO'S PIZZERIA TAVERN,Staten Island,10302,Pizza/Italian,2/12/2019,02B,Y,1,2/12/2019,40.63002441,-74.14016887,501,49,21300,5107096,5011310001,SI28
98,MICHAEL'S RESTAURANT,Brooklyn,11229,Italian,1/7/2020,06C,Y,0,1/7/2020,40.60741859,-73.94300363,315,48,56400,3183707,3068130034,BK44
99,LENIHAN'S SALOON,Queens,11418,American,11/7/2019,06D,Y,1,11/7/2019,40.69410985,-73.82779593,409,29,14400,4196683,4093510039,QN54
100,KILLARNEY ROSE,Manhattan,10005,Irish,9/9/2019,04L,Y,1,9/9/2019,40.70533871,-74.00869226,101,1,700,1000834,1000280015,MN25
101,DON PEPPE,Queens,11420,Italian,9/26/2019,08A,N,1,9/26/2019,40.67025824,-73.82097608,410,32,83800,4256605,4118050047,QN55
102,BLARNEY CASTLE,Queens,11697,American,8/1/2019,06D,Y,0,8/1/2019,40.56077579,-73.9117834,414,32,91601,4533648,4163500300,QN10
103,THREE STAR RESTAURANT,Brooklyn,11229,American,2/21/2019,04L,Y,1,2/21/2019,40.59896186,-73.95526502,315,48,58000,3198177,3073210045,BK44
104,DANGERFIELD'S NIGHT CLUB,Manhattan,10065,American,5/4/2019,04K,Y,1,5/4/2019,40.76106482,-73.96089527,108,5,10602,1045280,1014560003,MN31
105,DESMOND'S TAVERN,Manhattan,10016,American,1/2/2020,04N,Y,0,,40.74426411,-73.98337396,105,2,7200,1018295,1008850092,MN20
106,NAOMI KOSHER PIZZA,Queens,11367,Jewish/Kosher,2/11/2019,10E,N,1,2/11/2019,40.7324663,-73.82481705,408,24,80900,4141570,4064860039,QN37
107,ROLL-N-ROASTER,Brooklyn,11235,American,2/27/2019,10B,N,1,2/27/2019,40.58386661,-73.93969006,315,48,60800,3247482,3087930063,BK17
108,TIO PEPE,Manhattan,10014,Seafood,6/19/2019,10F,N,1,6/19/2019,40.7320566,-74.00144328,102,3,6700,1010145,1005900029,MN23
109,BRENNAN & CARR,Brooklyn,11229,American,1/14/2020,02B,Y,0,,40.60038588,-73.94189333,315,46,57000,3200248,3073620006,BK17
110,THE PUNCH BOWL,Bronx,10463,American,6/24/2019,06C,Y,1,6/24/2019,40.88520606,-73.90057393,208,11,28300,2094716,2032710189,BX29
111,JARDIN DE CHINA REST,Queens,11368,Chinese,12/12/2019,02B,Y,0,,40.7507548,-73.87036048,403,21,37500,4043854,4017590046,QN26
112,IRISH COTTAGE,Queens,11375,Irish,4/25/2019,10F,N,1,4/25/2019,40.71953664,-73.8425064,406,29,73700,4078009,4032570024,QN17
113,BLARNEY STONE,Manhattan,10006,Irish,7/30/2019,10F,N,1,7/30/2019,40.70652394,-74.01384656,101,1,1300,1000803,1000200004,MN25
114,SHIMONS KOSHER PIZZA,Queens,11367,Jewish/Kosher,12/4/2019,06B,Y,1,12/4/2019,40.72718118,-73.82209618,408,24,77902,4143376,4066200032,QN37
115,FASCATI'S PIZZERIA,Brooklyn,11201,Pizza/Italian,11/13/2019,10F,N,1,11/13/2019,40.69844393,-73.99254562,302,33,100,3001700,3002260025,BK09
116,BABY BO'S CANTINA,Manhattan,10016,Tex-Mex,5/9/2019,10B,N,1,5/9/2019,40.74497913,-73.97574095,106,2,7800,1020155,1009150029,MN20
117,LI GRECI'S STAATEN RESTAURANT,Staten Island,10310,American,12/10/2019,09B,N,1,12/10/2019,40.62947594,-74.11233734,501,49,10500,5004812,5001680064,SI35
118,SHUN LEE PALACE RESTAURANT,Manhattan,10022,Chinese,10/8/2019,08A,N,1,10/8/2019,40.75937665,-73.96948371,106,4,10000,1036515,1013100027,MN19
119,TAMAQUA,Brooklyn,11229,"Bottled beverages, including water, sodas, juices, etc.",1/7/2020,06C,Y,0,1/7/2020,40.59427211,-73.93006308,315,46,62800,3250140,3089460024,BK17
120,CARA MIA,Queens,11427,Italian,11/7/2019,10F,N,0,11/7/2019,40.73070434,-73.74326695,413,23,130100,4166343,4079450002,QN43
121,MALONEY'S BAR,Queens,11435,American,1/11/2020,06D,Y,0,,40.70516967,-73.80941251,412,24,23800,4207075,4096920052,QN61
122,LA FUSTA RESTAURANT,Queens,11373,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/16/2019,10B,N,1,5/16/2019,40.7447068,-73.88456967,404,25,26902,4000000,4015080001,QN29
123,RICHMOND COUNTY COUNTRY CLUB,Staten Island,10304,American,6/5/2019,06C,Y,1,6/5/2019,40.5879359,-74.10407271,502,50,18100,5106953,5008880018,SI24
124,LITTLE BROWN JUG,Queens,11418,American,8/28/2018,10F,N,0,,40.70079409,-73.82644779,409,29,14201,4196066,4093330001,QN54
125,LULU'S COFFEE SHOP,Bronx,10462,Café/Coffee/Tea,6/6/2019,10I,N,1,6/6/2019,40.83170704,-73.85099931,209,18,9200,2026488,2038110036,BX59
126,MITCHELL'S RESTAURANT,Brooklyn,11238,Soul Food,8/17/2019,08C,N,1,8/17/2019,40.67885037,-73.96841748,308,35,20500,3028191,3011450004,BK64
127,FINNEGAN'S WAKE PUB,Manhattan,10021,American,2/19/2019,04L,Y,1,2/19/2019,40.76857798,-73.95543946,108,5,12600,1044905,1014480023,MN31
128,DA VINCI PIZZA,Brooklyn,11204,Pizza/Italian,11/4/2019,06D,Y,0,11/4/2019,40.61897968,-73.99034286,311,38,25200,3133856,3055530046,BK28
129,MEXICO LINDO RESTAURANT,Manhattan,10010,Mexican,1/16/2020,10H,N,1,1/16/2020,40.73964407,-73.97961494,106,2,6600,1019834,1009060033,MN20
130,MARINA DELRAY,Bronx,10465,American,8/29/2019,06D,Y,1,8/29/2019,40.81453855,-73.81505544,210,13,11800,2097758,2056030014,BX52
131,NEW FLORIDIAN DINER,Brooklyn,11234,American,10/7/2019,10F,N,1,10/7/2019,40.61388183,-73.92718624,318,46,67200,3240573,3085100011,BK58
132,TWINS PUB,Manhattan,10001,Irish,5/9/2019,06D,Y,1,5/9/2019,40.75305399,-73.99655669,104,3,10300,1012848,1007310044,MN13
133,NARROWS COFFEE SHOP,Brooklyn,11209,American,9/23/2019,06C,Y,1,9/23/2019,40.61274172,-74.03370856,310,43,16200,3156154,3061380011,BK31
134,BROOME STREET BAR,Manhattan,10013,American,4/17/2019,06C,Y,1,4/17/2019,40.72311686,-74.00312428,102,1,4700,1007063,1004750012,MN24
135,O'HANLON'S PUB,Queens,11105,Irish,4/19/2019,08A,N,1,4/19/2019,40.77494827,-73.9121196,401,22,11500,4017050,4008330013,QN72
136,CHARLIES SPORTS BAR,Queens,,"Bottled beverages, including water, sodas, juices, etc.",9/23/2019,08A,N,0,,0,0,,,,,4,
137,JG MELON RESTAURANT,Manhattan,10021,American,1/14/2020,06F,Y,0,,40.7711925,-73.95953182,108,4,13400,1044019,1014290001,MN31
138,JACK'S PIZZA & PASTA,Queens,11360,Pizza/Italian,3/25/2019,10I,N,1,3/25/2019,40.77828456,-73.77724751,407,19,99704,4439463,4059000002,QN47
139,TAP ROOM/GRAB & GO,Manhattan,10019,American,1/7/2020,04M,Y,0,,40.76671822,-73.97873659,105,4,13700,1023750,1010110001,MN17
140,COCKTAIL ROOM (NYAC),Manhattan,10019,American,11/8/2019,04H,Y,1,11/8/2019,40.76671822,-73.97873659,105,4,13700,1023750,1010110001,MN17
141,FLAME RESTAURANT COFFEE HOUSE,Manhattan,10019,American,5/15/2019,02G,Y,1,5/15/2019,40.76843198,-73.98534267,104,3,13900,1026889,1010670033,MN15
142,JACKSON HOLE,Manhattan,10065,American,12/26/2019,02B,Y,0,,40.76430997,-73.96345643,108,4,11000,1043865,1014180031,MN31
143,ZUM STAMMTISCH,Queens,11385,German,9/25/2019,10F,N,1,9/25/2019,40.7018689,-73.88159658,405,30,62900,4090365,4037050001,QN19
144,BUDDY'S WONDER BAR,Staten Island,10302,American,11/14/2019,10H,N,0,,40.63675542,-74.13493705,501,49,20700,5025355,5010770004,SI28
145,THE ASSEMBLY BAR,Queens,11385,American,6/10/2019,10F,N,1,6/10/2019,40.70407352,-73.8769256,405,30,62300,4090076,4036960001,QN19
146,MR BROADWAY KOSHER RESTAURANT,Manhattan,10018,Jewish/Kosher,8/13/2019,08A,N,1,8/13/2019,40.75226286,-73.98745408,105,4,10900,1080609,1008130023,MN17
147,PICCOLA VENEZIA,Queens,11103,Italian,9/25/2019,04N,Y,1,9/25/2019,40.76467453,-73.91197437,401,22,14300,4012150,4007010006,QN70
148,CAPITOL RESTAURANT,Manhattan,10034,American,1/11/2019,10F,N,1,1/11/2019,40.86756001,-73.92159611,112,10,29500,1064984,1022410024,MN01
149,MIMIS RESTAURANT & BAR,Manhattan,10022,Italian,10/10/2019,10B,N,1,10/10/2019,40.7562169,-73.96752881,106,4,9800,1039779,1013450001,MN19
150,LENNY'S CLAM BAR,Queens,11414,Seafood,5/17/2019,10F,N,1,5/17/2019,40.65555094,-73.83896749,410,32,89200,4442305,4141890084,QN57
151,GRIFFIS FACULTY CLUB,Manhattan,10065,American,6/17/2019,04N,Y,1,6/17/2019,40.76415611,-73.95528359,108,5,11600,1084781,1014800001,MN31
152,GRAY'S PAPAYA,Manhattan,10023,Hotdogs,2/22/2019,10F,N,1,2/22/2019,40.777997,-73.98209815,107,6,15700,1029904,1011430064,MN14
153,DANI PIZZA AND RESTAURANT,Queens,11415,Pizza,8/29/2019,10F,N,1,8/29/2019,40.70886695,-73.83043401,409,29,77500,4079724,4033370092,QN60
154,MCDONALD'S,Brooklyn,11226,Hamburgers,6/10/2019,10F,N,1,6/10/2019,40.64872319,-73.95829825,314,40,79400,3117218,3051030001,BK95
155,MCDONALD'S,Queens,11416,Hamburgers,5/17/2019,06D,Y,1,5/17/2019,40.67972399,-73.86191833,409,32,4401,4188713,4090760009,QN56
156,CAFE FIORELLO,Manhattan,10023,Italian,2/8/2019,10F,N,1,2/8/2019,40.77151115,-73.98215045,107,6,14900,1027472,1011167501,MN14
157,L&B SPUMONI GARDENS,Brooklyn,11223,Pizza/Italian,12/11/2019,08A,N,0,12/11/2019,40.59439352,-73.981359,315,47,40200,3336553,3071160026,BK29
158,AMORE PIZZERIA & RESTAURANT,Queens,11354,Pizza/Italian,10/28/2019,08A,N,1,10/28/2019,40.76965881,-73.83469397,407,20,86900,4100747,4043690001,QN22
159,THE LARK'S NEST,Bronx,10470,Irish,10/1/2019,10F,N,1,10/1/2019,40.89797655,-73.86725439,212,11,45101,2019373,2033840005,BX62
160,TERRACE CAFE,Bronx,10460,American,5/22/2019,10F,N,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
161,ZOO BREWS-BRONX ZOO,Bronx,10460,American,5/22/2019,10F,N,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
162,GRIZZLY GROUNDS,Bronx,10460,Café/Coffee/Tea,5/29/2019,10F,N,1,5/29/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
163,THE PECKING ORDER,Bronx,10460,American,5/22/2019,10F,N,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
164,AFRICAN MARKET (BABOON CAFE),Bronx,10460,American,5/22/2019,02G,Y,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
165,ROADHOUSE RESTAURANT,Staten Island,10301,Italian,11/6/2019,10E,N,1,11/6/2019,40.61336685,-74.10045673,501,49,16901,5016581,5006580001,SI07
