,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
20995,Aldo's pizza,Queens,11417,Pizza/Italian,7/2/2019,06C,Y,1,7/2/2019,40.67203641,-73.84314532,410,32,8800,4248604,4115290003,QN56
20996,NZURI BAR & LOUNGE,Brooklyn,11216,Caribbean,11/15/2019,,,1,,40.68056038,-73.95254568,303,36,24700,3251517,3018600016,BK61
20997,CABANA LATINA RESTAURANT,Manhattan,10032,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/2/2020,05D,Y,1,1/2/2020,40.83731443,-73.94250596,112,7,24500,1063356,1021370032,MN36
20998,LEVAIN BAKERY,Manhattan,10023,Bakery,8/9/2019,02G,Y,1,8/9/2019,40.77965723,-73.98002872,107,6,16100,1030097,1011460101,MN12
20999,BAR VELOCE,Manhattan,10019,Italian,6/18/2019,04L,Y,1,6/18/2019,40.76713657,-73.98625993,104,3,13900,1025444,1010460061,MN15
21000,LEVAIN BAKERY,Manhattan,10024,Bakery,8/6/2019,04H,Y,1,8/6/2019,40.78164707,-73.97940344,107,6,16100,1030190,1011480063,MN12
21001,895 BAR,Brooklyn,11206,American,9/14/2019,04A,Y,1,9/14/2019,40.69794101,-73.93694662,304,34,38900,3071783,3031360003,BK78
21002,DUN HUANG,Brooklyn,11220,Chinese,8/7/2019,10F,N,1,8/7/2019,40.63514102,-74.00897132,312,38,10400,3140889,3057070073,BK34
21003,TIERRAS COLOMBIANAS,Queens,11106,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/7/2019,05D,Y,1,10/7/2019,40.76116961,-73.92366028,401,22,6100,4008876,4006230008,QN70
21004,DOWNTOWN YUMMY RESTAURANT,Manhattan,10002,Chinese,11/6/2019,10B,N,1,11/6/2019,40.71354583,-73.99614752,103,1,800,1003423,1002800040,MN27
21005,NAZCA PERUVIAN RESTAURANT,Queens,11417,Peruvian,8/1/2019,10C,N,1,8/1/2019,40.67654956,-73.84368266,410,32,5800,4245347,4113540022,QN56
21006,BAKHTAR AFGHAN WALI BABA GRILL,Queens,11432,Afghan,8/26/2019,06D,Y,1,8/26/2019,40.71429507,-73.77691389,412,27,48000,4212796,4099330025,QN61
21007,AZUMMA,Manhattan,10013,Spanish,4/9/2019,10F,N,1,4/9/2019,40.71879663,-74.00103895,102,1,4500,1002692,1002090028,MN24
21008,MOTEA GARDEN,Queens,11354,Café/Coffee/Tea,2/28/2019,10F,N,1,2/28/2019,40.76256201,-73.83171185,407,20,86900,4308806,4049777502,QN22
21009,NEW SUCCESS CHINESE,Queens,11434,Chinese,11/27/2019,02G,Y,1,11/27/2019,40.67014131,-73.76531754,412,31,33000,4441543,4130490007,QN02
21010,LEMONS & OLIVES,Brooklyn,11249,American,11/1/2019,10F,N,1,11/1/2019,40.71227765,-73.96400088,301,34,54900,,3,BK73
21011,TACOMBI FORT GREENE,Brooklyn,11217,Mexican,2/25/2019,10F,N,1,2/25/2019,40.68684539,-73.97799053,302,35,3300,3059181,3021080021,BK68
21012,SALL RESTAURANT & LOUNGE,Manhattan,10019,American,11/26/2019,04L,Y,0,11/26/2019,40.76741691,-73.98977974,104,3,13900,1026781,1010640004,MN15
21013,CHRISTMAS IN THE CITY,Manhattan,10013,Café/Coffee/Tea,11/25/2019,06D,Y,1,11/25/2019,40.71872251,-73.99758299,102,1,4100,1003088,1002370007,MN24
21014,A FEI CHINESE RESTAURANT,Brooklyn,11216,Chinese,10/28/2019,08A,N,1,10/28/2019,40.6831598,-73.94096641,303,36,27500,3052864,3018410001,BK35
21015,AMPLE HILLS CREAMERY,Queens,11103,"Ice Cream, Gelato, Yogurt, Ices",5/15/2019,08C,N,1,5/15/2019,40.76569516,-73.91886095,401,22,6300,4009084,4006260042,QN70
21016,STARBUCKS COFFEE #29719,Brooklyn,11215,Café/Coffee/Tea,7/22/2019,10F,N,1,7/22/2019,40.67700902,-73.98330066,306,39,13300,3000000,3009550004,BK37
21017,SOLA LAB,Manhattan,10038,Italian,1/8/2020,05E,Y,0,,40.71013403,-74.00534198,101,1,1501,1001285,1000930028,MN25
21018,BARKING DOG,Manhattan,10128,American,10/4/2019,08A,N,0,10/4/2019,40.78398214,-73.95022562,108,5,15801,1048432,1015230033,MN40
21019,HAWA SMOOTHIES & BUBBLE TEA,Manhattan,10021,"Juice, Smoothies, Fruit Salads",8/6/2019,02G,Y,1,8/6/2019,40.76625107,-73.95714136,108,5,12600,1044822,1014440027,MN31
21020,FRIENDLY'S HOT DOGS,Manhattan,10036,Hotdogs/Pretzels,9/18/2019,04H,Y,1,9/18/2019,40.76319021,-73.99288851,104,3,12900,1026994,1010760032,MN15
21021,A-JIAO SICHUAN CHINESE,Manhattan,10128,Chinese,10/4/2019,10F,N,1,10/4/2019,40.78303421,-73.94798031,108,5,15601,1049222,1015400022,MN32
21022,ZYARA,Manhattan,10002,Mediterranean,9/17/2019,10F,N,1,9/17/2019,40.71957515,-73.98482676,103,1,3001,1004228,1003490025,MN27
21023,TATOS PIZZA,Brooklyn,11214,Pizza,8/28/2019,04M,Y,1,8/28/2019,40.6082562,-74.00139017,311,47,27800,3165307,3063320006,BK28
21024,NINJA JAPAN TERIYAKI  & SUSHI,Brooklyn,11226,Japanese,7/30/2019,06E,Y,1,7/30/2019,40.64985802,-73.96183641,314,40,51002,3117116,3050990106,BK42
21025,SCORES NEW YORK,Manhattan,10001,American,10/1/2019,02G,Y,1,10/1/2019,40.75141537,-74.00331329,104,3,9900,1012405,1006990014,MN13
21026,KAM HING BAKERY,Manhattan,10013,Chinese,7/24/2019,10F,N,1,7/24/2019,40.71571975,-73.99878794,103,1,2900,1001812,1001640022,MN27
21027,THE APARTMENT,Brooklyn,11249,American,12/10/2019,02G,Y,1,12/10/2019,40.72103171,-73.95879037,301,33,55700,3000000,3023030001,BK73
21028,THE MEZZANINE/THE BACKYARD,Brooklyn,11249,American,9/11/2019,08A,N,1,9/11/2019,40.72103171,-73.95879037,301,33,55700,3000000,3023030001,BK73
21029,PAINT 'N POUR' NYC,Manhattan,10026,American,6/28/2019,08C,N,1,6/28/2019,40.80220452,-73.95696642,110,9,21600,1090410,1018280063,MN11
21030,MEMORIA,Manhattan,10022,Italian,11/1/2019,06D,Y,0,11/1/2019,40.75684532,-73.96707731,106,4,9800,1039826,1013460001,MN19
21031,MORGENSTERN'S FINEST ICE CREAM,Manhattan,10012,"Ice Cream, Gelato, Yogurt, Ices",10/17/2019,06F,Y,1,10/17/2019,40.72720386,-73.99969333,102,1,6500,1008273,1005250056,MN23
21032,GREEN TEA,Staten Island,10301,Chinese,7/17/2019,08A,N,1,7/17/2019,40.64407474,-74.07657999,501,49,300,5000069,5000070070,SI22
21033,PRIVILEGED,Queens,11377,Other,11/10/2018,05D,Y,0,,40.74278779,-73.91560857,402,26,23500,4052836,4022820029,QN31
21034,EAST WIND SNACK,Brooklyn,11249,Chinese,10/31/2019,06F,Y,1,10/31/2019,40.71679218,-73.96207571,301,34,55500,3335727,3023500026,BK73
21035,RONNIE'S SANDWICH SHOPPE,Staten Island,10306,Delicatessen,9/16/2019,09C,N,1,9/16/2019,40.57470747,-74.10547029,502,50,11202,5053654,5037010006,SI45
21036,OCEANVIEW BITES,Brooklyn,11224,American,6/15/2019,10F,N,1,6/15/2019,,,,,,,,
21037,CHINA CHEF CHINESE RESTAURANT,Brooklyn,11226,Chinese,10/25/2019,10A,N,1,10/25/2019,40.64445493,-73.9579514,314,40,79200,3118908,3051650087,BK95
21038,LOBSTER JOINT,Brooklyn,11249,Seafood,12/18/2018,04L,Y,1,12/18/2018,40.71679218,-73.96207571,301,34,55500,3335727,3023500026,BK73
21039,CHEN'S EXPRESS KITCHEN,Manhattan,10003,Chinese,11/12/2019,10F,N,1,11/12/2019,40.73300275,-73.9864871,106,2,4800,1019504,1008960011,MN21
21040,GRAPE AND GRAIN,Manhattan,10009,Italian,7/9/2019,08A,N,1,7/9/2019,40.72405947,-73.98064073,103,2,2601,1004652,1003870119,MN28
21041,YARDS BAR & GRILL,Queens,11101,American,12/13/2019,02B,Y,1,12/13/2019,40.74405262,-73.94119735,402,26,100,4000738,4000960010,QN31
21042,LOS VIAJEROS,Manhattan,10019,Mexican,8/15/2019,06F,Y,1,8/15/2019,40.76681223,-73.98280875,104,3,13900,1799161,1270000161,MN15
