DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
CROWN FRIED CHICKEN,less wealthy,11212,Chicken,6/24/19,09C,N,1,6/24/19,40.66939124,-73.9067691,316,41,90800,3083886,3037260005,BK81
IDEA COFFEE,wealthier,10001,Café/Coffee/Tea,2/22/19,04N,Y,1,2/22/19,40.74458576,-73.98737252,105,2,5800,1015691,1008290042,MN13
ROAST KITCHEN,wealthier,10022,American,11/13/19,10F,N,1,11/13/19,40.76136732,-73.97229844,105,4,10200,1035774,1012910047,MN17
DUNKIN',less wealthy,11377,Donuts,4/24/19,10F,N,1,4/24/19,40.74122092,-73.9022692,402,26,24500,4053628,4023247501,QN63
THE BUSH DOCTOR JUICE BAR,less wealthy,11216,"Juice, Smoothies, Fruit Salads",5/7/19,06D,Y,1,5/7/19,40.68746822,-73.94472341,303,36,26500,3050977,3018100007,BK75
AZUKI,wealthier,10036,Asian,8/21/19,10F,N,1,8/21/19,40.75865554,-73.9887379,105,3,11900,1024711,1010167501,MN17
ADALYA,wealthier,10003,Mediterranean,8/13/19,08A,N,1,8/13/19,40.73609893,-73.98723341,105,2,5000,1078732,1008730015,MN21
GREY DOLPHIN SPORTS BAR & LOUNGE,less wealthy,11411,Caribbean,11/20/19,10F,N,1,11/20/19,40.69422084,-73.73726668,413,27,60600,4274461,4127400063,QN33
NYU COLLEGE OF NURSING CAFE,wealthier,10010,Café/Coffee/Tea,2/8/19,10B,N,1,2/8/19,40.73838656,-73.97745381,106,2,6600,1090494,1009310024,MN20
YANKEE PIZZA RESTAURANT,wealthier,10009,Pizza,5/9/19,10F,N,1,5/9/19,40.72661143,-73.97699239,103,2,2800,1004914,1003940044,MN28
C & B,wealthier,10009,Café/Coffee/Tea,2/14/19,06E,Y,1,2/14/19,40.72526185,-73.98169386,103,2,3200,1005093,1004020032,MN22
ASIAN BAY CHINESE FOOD,less wealthy,11235,Asian,7/3/19,06A,Y,1,7/3/19,40.58540932,-73.95154067,315,48,60000,3247037,3087720073,BK17
VILLAGE NATURAL,wealthier,10011,Vegetarian,6/12/19,10F,N,1,6/12/19,40.73559461,-74.00051961,102,3,7100,1010523,1006060018,MN23
TASTY CARIBBEAN,less wealthy,11203,Caribbean,8/7/19,04L,Y,1,8/7/19,40.65240141,-73.9304632,317,41,86800,3102087,3046750033,BK96
L' ANTAGONISTE,less wealthy,11233,French,1/4/20,10F,N,1,1/4/20,40.68484712,-73.92994608,303,36,29500,3045831,3016560046,BK35
GINA MEXICANA,wealthier,10065,Tex-Mex,10/16/19,06E,Y,1,10/16/19,40.76334762,-73.96695134,108,4,11402,1041978,1013960023,MN40
LUK & BART HOMEMADE FOOD,wealthier,10303,Polish,6/17/19,06C,Y,1,6/17/19,40.63680988,-74.15882168,501,49,22300,5113255,5012240049,SI12
LA PRINCESA DEL RODEO,less wealthy,10472,Mexican,1/16/20,04H,Y,1,1/16/20,40.82770615,-73.87993366,209,17,5002,2023775,2037380043,BX55
